Job ID,Job Title,Salary Estimate,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
p1j1,Staff Data Scientist,$118K - $193K (Glassdoor est.),"About Us

On the off chance you've thought about insurance, it's likely because you've insured something you love, not because you loved your insurance company. Metromile is out to change that. As an insurtech company powered by data science and customer-centric design, we're building a community of drivers who come for the savings and stay for the experience.

With technology at its core, Metromile is reimagining insurance to make it fairer and actually delightful. We're obsessed with savings, service, and features -- street sweeping alerts, monthly mileage summaries, fuel trackers and more -- that engage a customer all along their journey. We're on the forefront of disrupting a $250 billion auto insurance category that has gone unchanged for over 80 years.

Metromile's diverse team combines the best of Silicon Valley technologists with veterans from Fortune 500 insurers and financial services giants. This management structure ensures that the business is focused on growth, customer experience and technology innovation while also balancing unit economics and profitability. The team is growing quickly across its San Francisco, Tempe, and Boston offices, as well as remotely. Our customer service, claims, and sales teams are all based in-house in the US.

Thanks to what makes us different -- our people and our technology -- we've been honored with a slew of awards. A few recent ones include: named a Benzinga ""Best Insurtech"" finalist, a Top Company to Work For , one of the Healthiest Employers in Phoenix , and a Best Place to Work . And, our CEO was recognized as a 2020 40 under 40 .

About The Role

At a pivotal inflection point of growth, Metromile is seeking a Staff Data Scientist to work with partners from across our company (actuarial, claims, marketing, telematics, and underwriting) to scale an effective business. This role will provide technical leadership in data practices, modeling infrastructure/architecture, and algorithmic design as a core member of a growing team. Your models will have an outsized impact in optimizing the balance between profitability, risk, and growth; enabling dynamic customer experiences; and powering our pricing strategies.

Data is our product; understanding how driver behavior relates to risk is at the core of our insurance business and will disrupt the way the industry currently operates. For one project, you might draw on data from in-car sensors, mobile devices, and connected vehicles to improve how quickly we are able to assess driving risk. For another, you might use the data we collect during the quote-and-enroll sign-up process to streamline the customer experience.

If you are excited by the opportunity to explore diverse data sources and work on impactful projects central to our company's mission, we'd love to hear from you.

You will

Own end-to-end data science projects from the exploration phase to implementation in production to post-production monitoring.
Lead innovation on our infrastructure for managing features for, training, and deploying machine learning models (both batch and real-time) based on your expertise
Communicate data science models to a range of stakeholders, incorporating their feedback to ensure our models have the best impacts on the business
Use your models to influence decisions across the business and gain support from executive leadership
Work with a diverse team of collaborative data professionals who enjoy technical discussions, learning new methodologies, and helping each other improve through feedback and shared research/tools

You will

Own end-to-end data science projects from the exploration phase to implementation in production to post-production monitoring.
Improve our infrastructure for training and deploying machine learning models, both batch and real-time
Communicate data science models to a range of stakeholders, incorporating their feedback to ensure our models have the best impacts on the business
Use your models to influence decisions across the business and gain support from executive leadership
Work with a diverse team of collaborative data professionals who enjoy technical discussions and learning new methodologies.

About You

No degree required. While we appreciate experience in a quantitative field like statistics, economics, applied math, operations research, physics or engineering, we recognize there are many paths to gain that experience and would love to hear about yours
4+ years experience building and deploying machine learning models in production
Proficiency with SQL for writing efficient queries on large datasets
Proficiency with Python for statistical and numerical modeling
Experience with Python and/or Scala APIs of Apache Spark, or other tools to work efficiently with data at scale (e.g., billions of rows from sensors)
Experience with AWS and/or GCP cloud platforms
Ability to collaborate and communicate with cross-functional partners to build the business

Bonus Points

Experience within the fintech, insurtech, or autonomous vehicle space
Prior work in developing machine learning infrastructure

What's In It For You

Competitive salary and stock options
Excellent benefits package (health, dental, vision, 401K- with employer match)
Well-being reimbursement, includes home office equipment
Flexible paid vacation program and a culture that encourages using it (e.g., designated no-meeting days so teams can take flex holidays)
Flexible hours
Remote work options
12 paid weeks of leave for child birth/adoption
Annual anniversary gifts (6 week paid sabbatical at 5 years)

If you got to this point, we hope you're feeling excited about the role. Even if you don't feel that you meet every single requirement, we still encourage you to apply. We're eager to meet people that believe in Metromile's mission and can contribute to our team in a variety of ways – not just candidates who check all the boxes.

Metromile is committed to building a diverse, inclusive and equitable culture at all levels. We nurture a sense of community by investing in one another's unique backgrounds and experiences to drive business success and positively influence our services and products.

Metromile is proud to be an equal opportunity employer. We will not discriminate against any applicant or employee on the basis of age, race, color, ethnicity, national origin, citizenship, religion, creed, sex, sexual orientation, gender, gender identity, or expression (including against any individual that is transitioning, has transitioned, or is perceived to be transitioning), marital status or civil partnership/union status, physical or mental disability, medical condition, pregnancy, childbirth, genetic information, military, and veteran status, or any other basis prohibited by applicable federal, state or local law.",Metromile,4.1,"San Francisco, CA",201 to 500 Employees,2011,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable
p1j2,Data Scientist,$76K - $143K (Glassdoor est.),"Primary Location: 6305 Peachtree Dunwoody Rd, Atlanta, GA, USA
Division: Cox Communications Inc
Job Level: Individual Contributor
Travel: No
Schedule: Full-time
Shift: Day Job
Requisition Number: 211885
Cox Communications is looking for a Data Scientist to join the Interaction Health team within the Analytics Center of Excellence. This role will be responsible for building advanced analytics solutions. The Data Scientist is required to have strong skills in advanced analytics algorithms, tools, and technologies to drive solution development at scale.",Cox Communications Inc,4.1,"Atlanta, GA",10000+ Employees,1962,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD)
p1j3,Sr. APM Analyst/Data Scientist,$85K - $169K (Glassdoor est.),"Job Description
ENSCO ASE is recruiting senior engineering and support staff supporting the Office of the Undersecretary of Defense - Intelligence & Security Branch (OUSD/I&S). We are currently seeking a Sr. APM Analyst Data Scientist who will interface with functional and technical experts. Successful candidates will support the modernization, alignment, and integration of Combatant Command intelligence capabilities and the remaining Defense Intelligence Enterprise. Position is located in Fairfax, VA. Duties will include but are not limited to:
The Sr. APM Analyst/Data Scientist will integrate with cross-functional teams specializing in architecture development, solutions analysis, intelligence functional expertise, JCIDS requirements management, and PPBE documentation informing the development and implementation of Information Technology (IT) business processes, programs, plans and guidance for Defense Intelligence warfighting support to the Combatant Commands.","ENSCO, Inc.",3.9,"Fairfax, VA",501 to 1000 Employees,1969,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD)
p1j4,LEAD DATA SCIENTIST,$81K - $160K (Glassdoor est.),"Overview:

Job Description
Type of Opportunity: Full Time
FTE: 1.000000
Exempt: Yes
Work Schedule: Weekday Schedule Monday-Friday
Summary:
Identify new opportunities for innovative analytics (i.e., descriptive, prescriptive and predictive) based on market developments & business demands as well as manage analytical projects in concert with other Directors within the Analytics Organization (AO). Collaborate across the organization to perform exploration and experimentation to build prototypes and develop analytical solutions best practices Guide the development of new analytical models to support real time and data driven business decision making. Responsible for mentoring and supporting fellow junior scientist as well as assisting senior leadership in evaluation, development and implementation of cutting edge reporting/research/analytics generating actionable insights to meet organizations needs
Responsibilities:




















Qualifications:










Benefits:",Presbyterian Healthcare Services,3.7,"Albuquerque, NM",10000+ Employees,1908,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
p1j6,Data Scientist Technical Specialist,$86K - $176K (Glassdoor est.),"Technology is constantly changing and our adversaries are digitally exceeding law enforcement’s ability to keep pace. Those charged with protecting the United States are not always able to access the evidence needed to prosecute crime and prevent terrorism. The Government has trusted in Peraton to provide the technical ability, tools, and resources to bring criminals to justice. In response to this challenge, these employees provide proven, industry leading cloud development experience for our enforcement customer. At Peraton you will help protect our national security by working with our countries law enforcement customer to solve their big data challenges. Peraton is looking for a talented Data Scientist, to analyzing production data which will lead to the program choosing right-fit technology solutions.
What you’ll do…
Work closely with entity resolution subject matter experts, program engineers and stakeholders to integrate complex data sources into operation and develop new analytics and algorithms",Peraton,4.0,"Chantilly, VA",10000+ Employees,2017,Company - Private,IT Services,Information Technology,$5 to $10 billion (USD)
p1j8,Data Scientist,$77K - $147K (Glassdoor est.),"Regarding COVID19: We are actively hiring for all advertised positions! To ensure the safety of all current and prospective employees, each step of our interview process will be conducted virtually and, our new hire on-boarding & training procedures have been amended to accommodate social distancing guidelines. We have also established an efficient teleworking environment to support all company efforts!
At InnovaSystems, extraordinary solutions are born through innovative software.
A leading provider of information technology and enterprise software solutions to the Department of Defense, federal, state and local government agencies, InnovaSystems delivers a vital service to support our nation’s National Security Strategy.","InnovaSystems International, LLC",3.8,"Alexandria, VA",201 to 500 Employees,1997,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD)
p1j11,Health Care Data Scientist,$83K - $142K (Glassdoor est.),"When you’re the best, we’re the best. We instill an environment where employees feel engaged, satisfied and able to contribute their unique skills and talents. We provide extensive opportunities for personal and professional development, building both employee competence and organizational capability to fuel exceptional performance now and in the future.
Summary:
In this role, you will conduct sophisticated data analysis to help address critical business and member questions, the outputs of which enable members to drive improvements in clinical, operational, and economic outcomes.
Responsibilities:
$99,300.00 - $147,700.00","Vizient, Inc.",4.2,"Irving, TX",1001 to 5000 Employees,1977,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
p1j14,Marketing Data Scientist - Texas or Michigan,$79K - $128K (Glassdoor est.),"Marketing Data Scientist
The Marketing Data Scientist role will be responsible for working across Business Units and IT to develop and execute actionable data science (i.e. machine learning) and analytical solutions (i.e.: dashboards) in a consulting-style environment that places a premium on creative problem solving and client interaction.
Position Competencies
Successful incumbents possess analytical and problem-solving mindset, Interest in marketing analytics and consumer, behavior, programming in a modern language, results-oriented focus, written/verbal communication skills, strong interpersonal skills, desire to work with a team, willingness to adapt as team needs evolve and planning and organizational skills.
Position Responsibilities

Comerica Bank Tower
8:00 am - 5:00 pm Monday - Friday",Comerica Bank,4.0,"Dallas, TX",5001 to 10000 Employees,1849,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
p1j15,Data Scientist,$60K - $110K (Glassdoor est.),"About Osmose
With 85 years of experience, Osmose proudly serves the electric utility and telecommunications industries across the U.S., helping enable the delivery of safe, reliable and affordable electricity and communications services to millions of customers nationwide. We are the industry leader in wood and steel structure condition assessment, life-extension and rehabilitation services. Our mission is to accurately inspect and mitigate aging infrastructure in a planned, programmatic manner that minimizes owner costs while maximizing benefits.
Headquartered in Peachtree City, Georgia, with satellite offices in Atlanta, Buffalo-Depew, Syracuse, Boston-Westborough and Secaucus, NJ, the Osmose footprint extends throughout the country. Our employees are inspired to perform each and every day by our core values of integrity, customer focus, safety, respect, excellence, flexibility, efficiency and ownership. Our staff and field personnel represent some of the most tenured, well trained, and innovative professionals in the industry.",Osmose Utilities Services,3.3,"Depew, NY",1001 to 5000 Employees,1934,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD)
p1j16,Data Scientist,$62K - $116K (Glassdoor est.),"COMPANY OVERVIEW:
INFICON is a growing, global, leading provider of innovative technologies that enhance productivity and quality in sophisticated industrial processes. The products provided by INFICON are world-class instruments for gas analysis, measurement, and control and are vital to manufacturers and end-users in the complex fabrication of semiconductors and thin film coatings for optics, flat panel displays, solar cells, and industrial vacuum coating applications. INFICON is headquartered in Switzerland and has world-class manufacturing facilities in Europe, the United States and China with subsidiaries located throughout the world. This position will be located in East Syracuse, NY. For more detailed information about INFICON, please visit our website at www.inficon.com.
INFICON's Data Science Research group in Syracuse NY conducts research to analyze data from sensors and to identify events of critical importance to our customers. Our group develops algorithms to process faint signals buried in noisy spectral data to help build advanced semiconductors and protect people's lives from deadly chemicals.

Apply your mastery of state-of-the-art machine learning technologies to difficult problems on noisy high-dimensional data. Work in a multi-disciplinary team that includes experts in Physics, Computer Science, Mathematics, Chemistry, Electronics, and Semiconductor Manufacturing. Your research will have high visibility due to its high potential to increase the value of global products. Your research will have high visibility and high potential to increase the value of INFICON products.

In this job you will be given ample freedom to explore a wide range of novel approaches, you will work closely with scientific and business colleagues on large amounts of sensor data, and focus on writing high value code.





Required","INFICON, Inc.",3.2,"East Syracuse, NY",501 to 1000 Employees,2000,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD)
